state,abbreviation,year,lat,lng,population,raw_need_score,need_index,ami,smi,mde_adult,mde_youth,suicide_rate,substance_use_disorder,public_mh_spending_per_capita,predicted_public_mh_spending_per_capita,funding_gap_per_capita,funding_gap_score,medicaid_share_of_public_mh,provider_density_per_100k,medicaid_expansion_status,medicaid_expansion_label,financing_status
Alabama,AL,2016,32.8,-86.8,5108468,-0.4189,44.8,23.02,6.12,8.64,17.6,16.8,16.2,311.24,334.92,-23.68,-1.99,45.1,92.6,0,Non-expansion,Modeled fallback
Alaska,AK,2016,64.2,-152.5,733406,0.4338,54,24.04,6.67,8.63,15.28,28.2,18.33,338.23,340.35,-2.12,-0.18,44.6,213.1,1,Expansion,Modeled fallback
Arizona,AZ,2016,33.7,-111.4,7431344,0.454,54.3,24.6,6.46,9.39,16.78,19.2,17.58,336.05,340.53,-4.48,-0.38,45.4,194.9,1,Expansion,Modeled fallback
Arkansas,AR,2016,34.8,-92.4,3067732,1.5326,65.9,26.55,6.66,9.91,18.33,20.2,17.31,331.59,347.37,-15.78,-1.33,45.1,150.1,1,Expansion,Modeled fallback
California,CA,2016,36.1,-119.7,39029342,-2.6035,21.3,21.63,4.76,7.34,15.83,10.2,16.65,335.52,321.06,14.46,1.22,44.9,254.9,1,Expansion,Modeled fallback
Colorado,CO,2016,39,-105.3,5773714,2.5401,76.8,26.36,6.98,9.58,19.24,20.9,22.37,365.82,353.8,12.02,1.01,49.6,276.1,1,Expansion,Modeled fallback
Connecticut,CT,2016,41.6,-72.7,3626205,-1.0023,38.6,23.74,5.53,8.29,17.49,9.1,17.53,344.95,331.26,13.69,1.15,48.2,258.8,1,Expansion,Modeled fallback
Delaware,DE,2016,39.3,-75.5,990837,-1.1425,37,22.14,5.6,8.6,16.58,12.8,17.62,334.7,330.32,4.38,0.37,47.3,197.9,1,Expansion,Modeled fallback
Florida,FL,2016,27.7,-81.4,22610726,-2.4986,22.4,20.81,4.54,7.64,16.33,14.4,15.64,314.28,321.71,-7.43,-0.63,43.8,161.7,0,Non-expansion,Modeled fallback
Georgia,GA,2016,33,-83.6,10912876,-0.9257,39.4,25.23,5.81,8.16,15.02,14.8,17.61,314.47,331.74,-17.27,-1.45,45.1,113.8,0,Non-expansion,Modeled fallback
