abbreviation,year,predicted_public_mh_spending_per_capita,funding_gap_per_capita,funding_gap_score
AK,2016,340.38,-2.15,-0.24
AL,2016,324.26,-13.02,-1.46
AR,2016,336.43,-4.84,-0.54
AZ,2016,340.93,-4.88,-0.55
CA,2016,321.26,14.26,1.6
CO,2016,348.06,17.76,1.99
CT,2016,340.75,4.2,0.47
DE,2016,338.84,-4.14,-0.46
FL,2016,310.71,3.57,0.4
GA,2016,322.89,-8.42,-0.94
HI,2016,317.2,3.14,0.35
IA,2016,350.79,-5.89,-0.66
ID,2016,343.18,-12.49,-1.4
IL,2016,330.87,1.44,0.16
IN,2016,339.26,-1.7,-0.19
KS,2016,338.13,-8.78,-0.99
KY,2016,342.22,1.84,0.21
LA,2016,317.87,4.06,0.46
MA,2016,343.76,4.02,0.45
MD,2016,333.46,5.67,0.64
ME,2016,364.03,3.32,0.37
MI,2016,334.33,-1.86,-0.21
MN,2016,335.68,8.69,0.97
MO,2016,341.37,1.67,0.19
MS,2016,313.41,-16.65,-1.87
MT,2016,348.75,11.76,1.32
NC,2016,319.96,-6.49,-0.73
ND,2016,341.24,1.07,0.12
NE,2016,341.4,3.86,0.43
NH,2016,360.53,5.66,0.64
NJ,2016,319.52,4.38,0.49
NM,2016,344.22,-12.66,-1.42
NV,2016,348.02,-18.73,-2.1
NY,2016,332.3,3.2,0.36
OH,2016,338.26,-0.12,-0.01
OK,2016,331.13,-9.07,-1.02
OR,2016,361.98,8.81,0.99
PA,2016,340.2,10.07,1.13
RI,2016,348.39,5.01,0.56
SC,2016,311.49,-6.19,-0.69
SD,2016,336.51,1.81,0.2
TN,2016,337.57,-7.86,-0.88
TX,2016,315.38,-13.37,-1.5
UT,2016,340.67,14.19,1.59
VA,2016,328.52,15.63,1.75
VT,2016,361.97,6.21,0.7
WA,2016,346.3,11.42,1.28
WI,2016,339.78,6.14,0.69
WV,2016,359.93,-13.21,-1.48
WY,2016,350.97,-12.2,-1.37
AK,2017,358.71,-2.14,-0.23
AL,2017,341.87,-13.67,-1.49
AR,2017,354.71,-5.12,-0.56
AZ,2017,359.07,-4.79,-0.52
CA,2017,338.53,14.1,1.54
CO,2017,366.93,17.55,1.91
CT,2017,358.44,4.1,0.45
DE,2017,356.69,-3.84,-0.42
FL,2017,327.53,3.87,0.42
GA,2017,340.41,-8.82,-0.96
HI,2017,334.17,3.6,0.39
IA,2017,369.79,-6.21,-0.68
ID,2017,361.7,-13.06,-1.42
IL,2017,348.71,1.63,0.18
IN,2017,357.62,-1.75,-0.19
KS,2017,356.22,-8.99,-0.98
KY,2017,360.65,2.04,0.22
